"Table A1.4ii: Prison population under an immediate custodial sentence by offence group, age group and sex; 30 June 2002 to 30 June 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contents,,,
,30-Jun-02,30-Jun-03,30-Jun-04,30-Jun-05,30-Jun-06,30-Jun-07,30-Jun-08,30-Jun-09,30-Jun-09(1),30-Jun-10,30-Sep-10,31-Dec-10,31-Mar-11,30-Jun-11,30-Sep-11,31-Dec-11,31-Mar-12,30-Jun-12,30-Sep-12,31-Dec-12,31-Mar-13,30-Jun-13,30-Sep-13,31-Dec-13,31-Mar-14,30-Jun-14,30-Sep-14,31-Dec-14,31-Mar-15,30-Jun-15,,,
Males and females,"57,272","59,393","60,924","62,179","63,404","65,533","68,124","68,375","68,461","70,871","71,616","70,167","72,018","71,835","72,637","72,769","74,275","73,435","73,269","71,743","71,492","70,781","70,996","70,813","71,556","71,361","71,648","71,027","71,917","72,552",,,
Violence against the person,"12,212","12,986","13,974","15,178","16,215","17,616","18,930","19,946","19,762","20,247","20,346","20,159","20,564","20,431","20,395","20,488","20,688","20,437","20,275","19,892","19,650","19,473","19,387","19,426","19,481","19,596","19,027","19,113","19,287","19,608",,,
Sexual offences,"5,294","5,540","5,773","6,185","6,598","7,336","7,616","7,972","8,176","9,304","9,473","9,663","9,857","9,850","9,956","10,125","10,346","10,473","10,546","10,577","10,498","10,540","10,745","10,956","11,150","11,192","11,464","11,692","11,914","12,230",,,
Robbery,"7,522","8,286","8,448","8,378","8,415","8,747","8,733","9,049","8,738","8,834","8,950","8,962","9,087","9,141","9,262","9,360","9,421","9,279","9,222","9,178","8,984","8,873","8,724","8,703","8,602","8,507","8,435","8,296","8,255","8,174",,,
Burglary,"9,156","8,816","8,643","8,082","7,791","7,920","7,935","7,884","7,403","6,857","6,944","6,829","7,079","7,102","7,317","7,435","7,448","7,345","7,482","7,416","7,322","7,073","7,136","7,151","7,163","7,141",..,..,..,..,,,
Theft and handling,"4,739","4,651","4,404","4,126","4,125","3,706","3,836","3,382","3,134","3,850","4,188","3,848","4,079","4,198","4,473","4,424","4,820","4,646","4,736","4,405","4,541","4,500","4,486","4,453","4,561","4,377",..,..,..,..,,,
Fraud and forgery,"1,040","1,022","1,147","1,454","1,692","1,738","2,020","1,875","1,923","1,544","1,518","1,395","1,447","1,376","1,406","1,450","1,461","1,454","1,374","1,297","1,336","1,320","1,343","1,326","1,358","1,352","1,389","1,359","1,365","1,471",,,
Drug offences,"10,067","10,330","10,486","10,661","10,647","10,613","10,982","10,696","10,420","11,064","10,891","10,641","10,694","10,621","10,604","10,702","10,846","10,682","10,450","10,218","10,244","10,175","10,263","10,172","10,271","10,306","10,194","10,149","10,195","10,323",,,
Motoring offences,"2,259","2,689","2,403","2,163","1,920","1,484","1,377","1,149","1,050",931,932,767,873,841,829,814,887,798,805,740,775,723,783,728,796,820,779,764,871,906,,,
Other offences,"3,911","4,186","4,842","5,289","5,594","5,991","6,439","6,117","6,186","7,353","7,683","7,452","7,757","7,755","7,755","7,546","7,846","7,826","7,947","7,748","7,785","7,625","7,712","7,628","7,735","7,644","7,683","7,478","7,620","7,626",,,
Offence not recorded,"1,072",886,803,664,408,383,256,304,"1,669",887,691,451,581,520,640,425,512,495,432,272,357,479,417,270,439,426,397,270,429,462,,,
Adults,"49,006","51,570","53,280","54,479","55,552","57,015","59,435","59,970","60,186","63,063","63,847","62,984","64,551","64,530","65,220","65,534","67,046","66,589","66,729","65,655","65,604","65,224","65,544","65,615","66,395","66,472","66,951","66,589","67,507","68,239",,,
Violence against the person,"10,595","11,348","12,211","13,229","14,187","15,323","16,483","17,515","17,433","17,997","18,149","18,120","18,527","18,496","18,487","18,669","18,880","18,686","18,642","18,379","18,153","18,010","18,017","18,139","18,191","18,348","17,880","17,966","18,182","18,522",,,
